space,subspace,title,prompt,answer
mainframe,datasets_basico,Datasets 001 - O que é um dataset no z/OS,O que é um dataset no z/OS? explique de forma prática.,"Nível 1: No z/OS, dataset é a unidade lógica de armazenamento usada por programas, utilitários e jobs para ler, gravar ou organizar informação.
Nível 2: Ele não deve ser visto apenas como 'um arquivo'. No mainframe, o dataset carrega atributos operacionais como organização, formato de registro, tamanho lógico, política de catálogo e forma de alocação.
Nível 3: Em ambiente real, entender dataset significa saber como o dado será criado, localizado, protegido, versionado e consumido por JCL, utilitários e aplicações COBOL.
Aplicação prática: Explique de forma prática. Em uma situação real, o profissional deve validar naming, catálogo, atributos DCB, política SMS e dependências de JCL antes de promover qualquer mudança.
Erro recorrente: copiar parâmetros de outro dataset sem revisar RECFM, LRECL, SPACE e objetivo funcional."
mainframe,datasets_catalogo,"Datasets 002 - Qual a diferença entre dataset sequencial, particionado e VSAM","Qual a diferença entre dataset sequencial, particionado e VSAM? explique de forma prática.","Nível 1: O sequencial armazena registros em ordem linear; o particionado organiza um conjunto de membros em uma biblioteca; o VSAM traz estruturas orientadas a acesso mais sofisticado, como KSDS, ESDS e RRDS.
Nível 2: O sequencial é excelente para fluxo batch simples, o PDS/PDSE é ideal para fontes, procedures e membros reutilizáveis, e o VSAM atende cenários com chave, atualização frequente ou acesso direto.
Nível 3: A escolha errada afeta performance, manutenção e até o desenho do job. Não é só uma decisão de armazenamento; é uma decisão de arquitetura operacional.
Aplicação prática: Explique de forma prática. Em uma situação real, o profissional deve validar naming, catálogo, atributos DCB, política SMS e dependências de JCL antes de promover qualquer mudança.
Boa prática: documentar o papel do dataset no fluxo batch e manter convenções previsíveis para operação e suporte."
mainframe,datasets_alocacao,Datasets 003 - Quando usar PDS e quando usar PDSE,Quando usar PDS e quando usar PDSE? explique de forma prática.,"Nível 1: Use PDS quando houver dependência de ambiente legado específica; use PDSE quando quiser gestão mais moderna de membros e menos problemas operacionais.
Nível 2: O PDSE reduz necessidade de compress manual, melhora o reaproveitamento interno de espaço e trata melhor a concorrência de acesso em vários cenários.
Nível 3: Em times de sustentação, a prática mais segura é preferir PDSE para bibliotecas ativas, deixando PDS apenas quando uma exigência técnica ou histórica realmente justificar.
Aplicação prática: Explique de forma prática. Em uma situação real, o profissional deve validar naming, catálogo, atributos DCB, política SMS e dependências de JCL antes de promover qualquer mudança.
Ponto de entrevista: a resposta forte não fica só na definição; ela mostra impacto em execução, suporte, performance e governança."
mainframe,datasets_jcl,Datasets 004 - O que significa catalogar um dataset,O que significa catalogar um dataset? explique de forma prática.,"Nível 1: Catalogar um dataset é registrar no catálogo do sistema onde ele está e como pode ser encontrado pelo nome.
Nível 2: Sem catálogo, o dataset pode até existir fisicamente em volume, mas fica mais difícil referenciá-lo sem informar volume e detalhes adicionais.
Nível 3: Em produção, catálogo correto simplifica JCL, reduz erro operacional e facilita automação, restore, rotação e rastreabilidade.
Aplicação prática: Explique de forma prática. Em uma situação real, o profissional deve validar naming, catálogo, atributos DCB, política SMS e dependências de JCL antes de promover qualquer mudança.
Troubleshooting: sempre correlacione mensagem do job, status do catálogo, volume, existência física e concorrência no momento da falha."
mainframe,datasets_utilitarios,Datasets 005 - Qual a função do volume em um dataset,Qual a função do volume em um dataset? explique de forma prática.,"Nível 1: O volume identifica o dispositivo ou conjunto físico onde o dataset reside.
Nível 2: Embora SMS esconda parte dessa complexidade, o conceito continua importante para troubleshooting, recall, migração e casos sem catálogo.
Nível 3: Quando ocorre falha de localização, disputa de montagem ou restauração, o volume deixa de ser detalhe e passa a ser peça central da análise.
Aplicação prática: Explique de forma prática. Em uma situação real, o profissional deve validar naming, catálogo, atributos DCB, política SMS e dependências de JCL antes de promover qualquer mudança.
Visão sênior: dataset bem definido reduz incidentes, acelera reprocesso e diminui dependência de intervenções manuais."
mainframe,datasets_sms,Datasets 006 - Como interpretar um nome de dataset e seus qualificadores,Como interpretar um nome de dataset e seus qualificadores? explique de forma prática.,"Nível 1: O nome do dataset costuma ser composto por qualificadores que representam domínio, sistema, aplicação, ambiente e finalidade.
Nível 2: Uma boa nomenclatura reduz erro humano, melhora busca, governança e automação de políticas.
Nível 3: Em operação madura, nome de dataset é metadado vivo: ele ajuda a entender dono, criticidade, ciclo de vida e impacto sem abrir o conteúdo.
Aplicação prática: Explique de forma prática. Em uma situação real, o profissional deve validar naming, catálogo, atributos DCB, política SMS e dependências de JCL antes de promover qualquer mudança.
Erro recorrente: copiar parâmetros de outro dataset sem revisar RECFM, LRECL, SPACE e objetivo funcional."
mainframe,datasets_vsam,Datasets 007 - O que é DISP em JCL e por que ele afeta datasets,O que é DISP em JCL e por que ele afeta datasets? explique de forma prática.,"Nível 1: DISP controla status do dataset no passo, além do que ocorre se o step terminar normalmente ou com falha.
Nível 2: Ele decide se o dataset será criado, compartilhado, mantido, catalogado ou apagado; por isso, está no centro da confiabilidade de jobs.
Nível 3: Muitos incidentes batch acontecem não por erro no programa, mas por DISP mal definido, causando lock, deleção indevida ou catálogo incorreto.
Aplicação prática: Explique de forma prática. Em uma situação real, o profissional deve validar naming, catálogo, atributos DCB, política SMS e dependências de JCL antes de promover qualquer mudança.
Boa prática: documentar o papel do dataset no fluxo batch e manter convenções previsíveis para operação e suporte."
mainframe,datasets_seguranca,"Datasets 008 - Qual a diferença entre DISP=SHR, OLD e MOD","Qual a diferença entre DISP=SHR, OLD e MOD? explique de forma prática.","Nível 1: SHR abre o dataset para compartilhamento compatível; OLD reserva uso exclusivo; MOD posiciona para acrescentar dados ao final quando aplicável.
Nível 2: A escolha depende do comportamento esperado do job, do utilitário e do risco de concorrência.
Nível 3: Em produção, usar SHR sem avaliar atualização concorrente ou usar OLD sem necessidade pode gerar desde corrupção lógica até gargalo operacional.
Aplicação prática: Explique de forma prática. Em uma situação real, o profissional deve validar naming, catálogo, atributos DCB, política SMS e dependências de JCL antes de promover qualquer mudança.
Ponto de entrevista: a resposta forte não fica só na definição; ela mostra impacto em execução, suporte, performance e governança."
mainframe,datasets_performance,"Datasets 009 - Quando usar DISP=NEW,CATLG,DELETE","Quando usar DISP=NEW,CATLG,DELETE? explique de forma prática.","Nível 1: Essa combinação significa criar dataset novo, catalogá-lo se tudo der certo e apagá-lo se houver falha.
Nível 2: É um padrão forte para saídas que só devem existir se a geração terminar íntegra.
Nível 3: A lógica protege o ambiente contra lixo operacional e reduz o risco de consumidores posteriores lerem artefato incompleto.
Aplicação prática: Explique de forma prática. Em uma situação real, o profissional deve validar naming, catálogo, atributos DCB, política SMS e dependências de JCL antes de promover qualquer mudança.
Troubleshooting: sempre correlacione mensagem do job, status do catálogo, volume, existência física e concorrência no momento da falha."
mainframe,datasets_operacao,Datasets 010 - O que é UNIT em uma alocação de dataset,O que é UNIT em uma alocação de dataset? explique de forma prática.,"Nível 1: UNIT informa a classe ou tipo de dispositivo a usar na alocação.
Nível 2: Em ambientes SMS ele costuma perder protagonismo, mas ainda aparece em jobs legados e cenários especiais.
Nível 3: Para quem faz troubleshooting, UNIT importa quando há incompatibilidade entre expectativa do job e política real de alocação.
Aplicação prática: Explique de forma prática. Em uma situação real, o profissional deve validar naming, catálogo, atributos DCB, política SMS e dependências de JCL antes de promover qualquer mudança.
Visão sênior: dataset bem definido reduz incidentes, acelera reprocesso e diminui dependência de intervenções manuais."
