space,subspace,title,lang,description,code
mainframe,cobol/basico,COBOL 001 - Programa básico DISPLAY,cobol,Exibe mensagem simples e termina de forma explícita. Variante 1.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. HELLO001.
       PROCEDURE DIVISION.
           DISPLAY 'OLA DO COBOL 001'.
           GOBACK.
"
mainframe,cobol/dados,COBOL 002 - Uso de WORKING-STORAGE,cobol,Declara campos numéricos e alfanuméricos com edição simples. Variante 2.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. WS002.
       DATA DIVISION.
       WORKING-STORAGE SECTION.
       01 WS-NOME        PIC X(20) VALUE 'USUARIO'.
       01 WS-VALOR       PIC 9(5)V99 VALUE 12345.67.
       PROCEDURE DIVISION.
           DISPLAY 'NOME=' WS-NOME.
           DISPLAY 'VALOR=' WS-VALOR.
           GOBACK.
"
mainframe,cobol/controle,COBOL 003 - IF e EVALUATE,cobol,Compara condições e trata múltiplos casos de forma legível. Variante 3.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. IFEV003.
       DATA DIVISION.
       WORKING-STORAGE SECTION.
       01 WS-STATUS      PIC X VALUE 'A'.
       PROCEDURE DIVISION.
           IF WS-STATUS = 'A'
              DISPLAY 'ATIVO'
           END-IF
           EVALUATE WS-STATUS
              WHEN 'A' DISPLAY 'PROCESSA NORMAL'
              WHEN 'B' DISPLAY 'BLOQUEADO'
              WHEN OTHER DISPLAY 'NAO MAPEADO'
           END-EVALUATE
           GOBACK.
"
mainframe,cobol/iteracao,COBOL 004 - PERFORM VARYING,cobol,Executa laço controlado por contador numérico. Variante 4.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. LOOP004.
       DATA DIVISION.
       WORKING-STORAGE SECTION.
       01 WS-I           PIC 9(3) VALUE 1.
       PROCEDURE DIVISION.
           PERFORM VARYING WS-I FROM 1 BY 1 UNTIL WS-I > 5
              DISPLAY 'ITEM ' WS-I
           END-PERFORM
           GOBACK.
"
mainframe,cobol/arquivos,COBOL 005 - Leitura sequencial,cobol,"Abre arquivo sequencial, lê até fim e trata status. Variante 5.","       IDENTIFICATION DIVISION.
       PROGRAM-ID. SEQ005.
       ENVIRONMENT DIVISION.
       INPUT-OUTPUT SECTION.
       FILE-CONTROL.
           SELECT ARQENT ASSIGN TO 'ARQENT'
               ORGANIZATION IS LINE SEQUENTIAL.
       DATA DIVISION.
       FILE SECTION.
       FD  ARQENT.
       01  REG-ENT       PIC X(80).
       WORKING-STORAGE SECTION.
       01  WS-EOF        PIC X VALUE 'N'.
       PROCEDURE DIVISION.
           OPEN INPUT ARQENT
           PERFORM UNTIL WS-EOF = 'S'
              READ ARQENT
                 AT END MOVE 'S' TO WS-EOF
                 NOT AT END DISPLAY REG-ENT
              END-READ
           END-PERFORM
           CLOSE ARQENT
           GOBACK.
"
mainframe,cobol/numerico,COBOL 006 - COMPUTE e arredondamento,cobol,Calcula valores derivados usando variáveis numéricas. Variante 6.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. COMP006.
       DATA DIVISION.
       WORKING-STORAGE SECTION.
       01 WS-QTD         PIC 9(3) VALUE 12.
       01 WS-PRECO       PIC 9(4)V99 VALUE 25.50.
       01 WS-TOTAL       PIC 9(6)V99.
       PROCEDURE DIVISION.
           COMPUTE WS-TOTAL ROUNDED = WS-QTD * WS-PRECO
           DISPLAY 'TOTAL=' WS-TOTAL
           GOBACK.
"
mainframe,cobol/strings,COBOL 007 - INSPECT e UNSTRING,cobol,"Manipula texto com contagem, substituição e separação. Variante 7.","       IDENTIFICATION DIVISION.
       PROGRAM-ID. STR007.
       DATA DIVISION.
       WORKING-STORAGE SECTION.
       01 WS-LINHA       PIC X(30) VALUE 'ABC;DEF;GHI'.
       01 WS-A           PIC X(10).
       01 WS-B           PIC X(10).
       01 WS-C           PIC X(10).
       01 WS-COUNT       PIC 9(2).
       PROCEDURE DIVISION.
           INSPECT WS-LINHA TALLYING WS-COUNT FOR ALL ';'
           UNSTRING WS-LINHA DELIMITED BY ';'
               INTO WS-A WS-B WS-C
           END-UNSTRING
           DISPLAY WS-COUNT '|' WS-A '|' WS-B '|' WS-C
           GOBACK.
"
mainframe,cobol/tabelas,COBOL 008 - OCCURS e SEARCH,cobol,Mostra tabela em memória e busca linear simples. Variante 8.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. TAB008.
       DATA DIVISION.
       WORKING-STORAGE SECTION.
       01 WS-IDX         PIC 9 VALUE 1.
       01 TABELA.
          05 ITEM OCCURS 3 TIMES INDEXED BY IDX.
             10 COD      PIC X(3).
       PROCEDURE DIVISION.
           MOVE '001' TO COD(1)
           MOVE '002' TO COD(2)
           MOVE '003' TO COD(3)
           SEARCH ITEM
              AT END DISPLAY 'NAO ACHOU'
              WHEN COD(IDX) = '002'
                 DISPLAY 'ACHOU ' COD(IDX)
           END-SEARCH
           GOBACK.
"
mainframe,cobol/modularizacao,COBOL 009 - Parágrafos e seções,cobol,Separa a lógica em blocos reutilizáveis com PERFORM. Variante 9.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. MOD009.
       PROCEDURE DIVISION.
       MAIN-SECTION SECTION.
       INICIO.
           PERFORM 1000-INICIALIZA
           PERFORM 2000-PROCESSA
           GOBACK.
       1000-INICIALIZA.
           DISPLAY 'INICIO'.
       2000-PROCESSA.
           DISPLAY 'PROCESSA'.
       *> Variante com comentário de manutenção
"
mainframe,cobol/chamada,COBOL 010 - CALL USING,cobol,Chama subprograma com passagem de parâmetro. Variante 10.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. CALL010.
       DATA DIVISION.
       WORKING-STORAGE SECTION.
       01 WS-PAR         PIC X(10) VALUE 'PARAMETRO'.
       PROCEDURE DIVISION.
           CALL 'SUBROT' USING WS-PAR
           DISPLAY 'RETORNO=' WS-PAR
           GOBACK.
"
mainframe,cobol/basico,COBOL 011 - Programa básico DISPLAY,cobol,Exibe mensagem simples e termina de forma explícita. Variante 11.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. HELLO011.
       PROCEDURE DIVISION.
           DISPLAY 'OLA DO COBOL 011'.
           GOBACK.
"
mainframe,cobol/dados,COBOL 012 - Uso de WORKING-STORAGE,cobol,Declara campos numéricos e alfanuméricos com edição simples. Variante 12.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. WS012.
       DATA DIVISION.
       WORKING-STORAGE SECTION.
       01 WS-NOME        PIC X(20) VALUE 'USUARIO'.
       01 WS-VALOR       PIC 9(5)V99 VALUE 12345.67.
       PROCEDURE DIVISION.
           DISPLAY 'NOME=' WS-NOME.
           DISPLAY 'VALOR=' WS-VALOR.
           GOBACK.
"
mainframe,cobol/controle,COBOL 013 - IF e EVALUATE,cobol,Compara condições e trata múltiplos casos de forma legível. Variante 13.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. IFEV013.
       DATA DIVISION.
       WORKING-STORAGE SECTION.
       01 WS-STATUS      PIC X VALUE 'A'.
       PROCEDURE DIVISION.
           IF WS-STATUS = 'A'
              DISPLAY 'ATIVO'
           END-IF
           EVALUATE WS-STATUS
              WHEN 'A' DISPLAY 'PROCESSA NORMAL'
              WHEN 'B' DISPLAY 'BLOQUEADO'
              WHEN OTHER DISPLAY 'NAO MAPEADO'
           END-EVALUATE
           STOP RUN.

"
mainframe,cobol/iteracao,COBOL 014 - PERFORM VARYING,cobol,Executa laço controlado por contador numérico. Variante 14.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. LOOP014.
       DATA DIVISION.
       WORKING-STORAGE SECTION.
       01 WS-I           PIC 9(3) VALUE 1.
       PROCEDURE DIVISION.
           PERFORM VARYING WS-I FROM 1 BY 1 UNTIL WS-I > 5
              DISPLAY 'ITEM ' WS-I
           END-PERFORM
           GOBACK.
"
mainframe,cobol/arquivos,COBOL 015 - Leitura sequencial,cobol,"Abre arquivo sequencial, lê até fim e trata status. Variante 15.","       IDENTIFICATION DIVISION.
       PROGRAM-ID. SEQ015.
       ENVIRONMENT DIVISION.
       INPUT-OUTPUT SECTION.
       FILE-CONTROL.
           SELECT ARQENT ASSIGN TO 'ARQENT'
               ORGANIZATION IS LINE SEQUENTIAL.
       DATA DIVISION.
       FILE SECTION.
       FD  ARQENT.
       01  REG-ENT       PIC X(80).
       WORKING-STORAGE SECTION.
       01  WS-EOF        PIC X VALUE 'N'.
       PROCEDURE DIVISION.
           OPEN INPUT ARQENT
           PERFORM UNTIL WS-EOF = 'S'
              READ ARQENT
                 AT END MOVE 'S' TO WS-EOF
                 NOT AT END DISPLAY REG-ENT
              END-READ
           END-PERFORM
           CLOSE ARQENT
           GOBACK.
"
mainframe,cobol/numerico,COBOL 016 - COMPUTE e arredondamento,cobol,Calcula valores derivados usando variáveis numéricas. Variante 16.,"       IDENTIFICATION DIVISION.
       PROGRAM-ID. COMP016.
       DATA DIVISION.
       WORKING-STORAGE SECTION.
       01 WS-QTD         PIC 9(3) VALUE 12.
       01 WS-PRECO       PIC 9(4)V99 VALUE 25.50.
       01 WS-TOTAL       PIC 9(6)V99.
       PROCEDURE DIVISION.
           COMPUTE WS-TOTAL ROUNDED = WS-QTD * WS-PRECO
           DISPLAY 'TOTAL=' WS-TOTAL
           GOBACK.
"
