kind,space,subspace,spaceIcon,subspaceIcon,title,prompt,modelAnswer
interview,Entrevista,COBOL,,,Experiência COBOL,Descreva sua experiência com COBOL no mainframe.,"Tenho experiência com Enterprise COBOL no z/OS, desenvolvendo programas batch e CICS para processamento financeiro. Trabalhei com leitura/escrita de arquivos sequenciais e VSAM KSDS, integração com DB2 usando SQL embutido, copybooks compartilhados, e estruturas de dados complexas com REDEFINES e OCCURS. Utilizei SORT interno, chamadas CALL a subprogramas, e tratamento de erros com FILE STATUS e ON SIZE ERROR."
interview,Entrevista,COBOL,,,COMP vs COMP-3,Por que usar COMP-3 em vez de DISPLAY para campos numéricos?,"COMP-3 (packed decimal) armazena 2 dígitos por byte versus 1 dígito por byte no DISPLAY, economizando ~50% de espaço. É o formato nativo para operações aritméticas decimais no hardware z/Architecture (instruções AP, SP, MP, DP), eliminando conversão. Para campos financeiros, COMP-3 é padrão porque mantém precisão decimal exata e é mais eficiente em cálculos e armazenamento. COMP (binário) é mais eficiente para índices e contadores."
interview,Entrevista,COBOL,,,Abend S0C7,Como você diagnostica um abend S0C7?,"S0C7 é Data Exception — dados não-numéricos em campo numérico durante operação decimal. Meu processo: 1) Consulto o compile listing para localizar o offset da instrução que falhou (PSW no dump). 2) Identifico o campo COMP-3 ou numérico envolvido. 3) Examino o conteúdo do campo no dump (valores hexadecimais inválidos para packed). 4) Rastreio de onde o campo foi populado — geralmente MOVE de alfanumérico, campo não inicializado, ou subscript fora dos limites acessando memória aleatória."
interview,Entrevista,COBOL,,,Performance COBOL,Como melhorar a performance de um programa COBOL batch?,"1) Otimizar I/O: BLKSIZE grande (half-track), BUFNO aumentado no JCL. 2) Minimizar operações de I/O: acumular dados em memória antes de escrever. 3) Usar COMP para índices/contadores, COMP-3 para valores. 4) SEARCH ALL (binária) em vez de SEARCH (linear) para tabelas grandes ordenadas. 5) Compilar com OPT(2) para otimização do compilador. 6) Evitar STRING/UNSTRING em loops críticos — usar MOVE com reference modification."
interview,Entrevista,COBOL,,,COBOL e DB2,Como funciona a integração COBOL-DB2?,"O processo envolve pré-compilação (DSNHPC extrai SQL e gera DBRM + fonte modificado), compilação COBOL, link-edit, e BIND (DBRM → PACKAGE/PLAN). No programa, EXEC SQL delimita SQL com host variables (:prefixo). SQLCA recebe resultados (SQLCODE). CURSOR para múltiplas rows. Indicator variables para NULLs. COMMIT/ROLLBACK para controle transacional. Boas práticas: COMMIT a cada N registros em batch, sempre checar SQLCODE."
interview,Entrevista,COBOL,,,Copybook Design,Como você projeta copybooks reutilizáveis?,"1) Um copybook por registro/layout de arquivo — reutilizável entre todos os programas que acessam aquele arquivo. 2) Prefixo consistente (CPCLI001 para cliente). 3) Campos com nomes claros usando prefixo do registro (CLI-NOME, CLI-CPF). 4) Incluir nível 88 para valores válidos. 5) Versionar quando layouts mudam (adicionar campos no final para manter compatibilidade). 6) Documentar com comentários no topo. 7) REPLACING para customizar prefixos quando o mesmo layout é usado com nomes diferentes."
interview,Entrevista,COBOL,,,CICS Programming,Explique pseudo-conversational e COMMAREA.,"Em programação pseudo-conversational, o programa envia a tela, salva estado na COMMAREA (até 32KB), e retorna ao CICS com RETURN TRANSID. A task é encerrada — libera todos os recursos. Quando o operador responde, CICS inicia nova task passando a COMMAREA via DFHCOMMAREA na LINKAGE SECTION. Verifico EIBCALEN: 0=primeiro acesso (envio tela inicial), >0=retorno (recupero estado da COMMAREA). Isso permite que centenas de operadores compartilhem os mesmos recursos CICS eficientemente."
interview,Entrevista,DB2,,,Explain Plan,Como você analisa e otimiza queries DB2?,"1) Executo EXPLAIN para ver o access path. 2) Verifico se usa index scan (matching) ou table scan. 3) Se table scan, verifico se há índice apropriado ou se o predicado não é sargable (ex: FUNCTION(coluna)). 4) Verifico RUNSTATS — estatísticas desatualizadas geram planos ruins. 5) Para JOIN, verifico o método (NLJ vs MJ vs HJ) e a ordem. 6) Considero redesign de índices, reescrita do SQL, ou hints. 7) Monitoro IFCID 0001/0002 para tempo de execução real."
interview,Entrevista,DB2,,,Deadlock,Como você previne e resolve deadlocks?,"Prevenção: 1) Acessar tabelas na mesma ordem em todos os programas. 2) Manter transações curtas com COMMIT frequente. 3) Usar ISOLATION(CS) a menos que RR seja necessário. 4) Evitar lock escalation (LOCKSIZE ROW). Resolução: SQLCODE=-911, reason code distingue deadlock de timeout. O DB2 faz rollback da vítima — o programa deve tratar retrying. Em CICS, o syncpoint no RETURN ajuda. Monitorar com DB2 PM ou RMF para identificar hot spots."
interview,Entrevista,DB2,,,BIND Process,Explique o processo de BIND e suas opções.,BIND transforma DBRM em PLAN ou PACKAGE. Opções importantes: ISOLATION (CS/RR/RS/UR) — nível de lock. VALIDATE (RUN/BIND) — quando validar autorização. ACQUIRE (USE/ALLOCATE) — quando adquirir locks. RELEASE (COMMIT/DEALLOCATE) — quando liberar. EXPLAIN(YES) — gerar plan table. CURRENTDATA (YES/NO) — dados atualizados para ambiguous cursors. REOPT (VARS/ALWAYS) — reotimizar para host variables. REBIND recompila com estatísticas atuais sem mudar fonte.
