space,subspace,title,prompt,answer
Mainframe,JCL/Fundamentos,O que faz o parâmetro JOB em JCL?,"Explique o papel, quando usar e o que muda na execução.","Nível 1 — Conceito: JOB em JCL deve ser entendido como recurso de controle, alocação ou execução conforme o contexto do job
Nível 2 — Operação: em ambiente batch, o uso correto de JOB influencia alocação, controle de execução, legibilidade do job e capacidade de diagnóstico quando algo falha.
Nível 3 — Prática: ao configurar JOB, avalie volume de dados, necessidade de catálogo, possibilidade de restart, concorrência com outros jobs e mensagens esperadas no spool.
Nível 4 — Erros comuns: valores incompatíveis, suposição errada sobre catálogo ou permissão, ausência de dataset pré-existente, combinação ruim com DISP/SPACE/DCB e leitura superficial do JESMSGLG/JESJCL.
Nível 5 — Critério sênior: em produção, padronize JOB com convenções do site, documente exceções, pense em rerun seguro e valide o comportamento real pelo RC, por mensagens IEC/IEF e pelo conteúdo gerado."
Mainframe,JCL/Datasets,Qual é a diferença entre OLD e SHR em JCL?,"Compare os cenários, riscos e exemplos práticos.","Nível 1 — Conceito: OLD versus SHR em JCL define diferença prática entre old e shr, mostrando quando cada um faz mais sentido
Nível 2 — Operação: em ambiente batch, o uso correto de OLD versus SHR influencia alocação, controle de execução, legibilidade do job e capacidade de diagnóstico quando algo falha.
Nível 3 — Prática: ao configurar OLD versus SHR, avalie volume de dados, necessidade de catálogo, possibilidade de restart, concorrência com outros jobs e mensagens esperadas no spool.
Nível 4 — Erros comuns: valores incompatíveis, suposição errada sobre catálogo ou permissão, ausência de dataset pré-existente, combinação ruim com DISP/SPACE/DCB e leitura superficial do JESMSGLG/JESJCL.
Nível 5 — Critério sênior: em produção, padronize OLD versus SHR com convenções do site, documente exceções, pense em rerun seguro e valide o comportamento real pelo RC, por mensagens IEC/IEF e pelo conteúdo gerado."
Mainframe,JCL/Execução,Quando usar KEEP em vez de CATLG?,Responda com critério operacional e impacto em produção.,"Nível 1 — Conceito: KEEP versus CATLG em JCL define diferença prática entre keep e catlg, mostrando quando cada um faz mais sentido
Nível 2 — Operação: em ambiente batch, o uso correto de KEEP versus CATLG influencia alocação, controle de execução, legibilidade do job e capacidade de diagnóstico quando algo falha.
Nível 3 — Prática: ao configurar KEEP versus CATLG, avalie volume de dados, necessidade de catálogo, possibilidade de restart, concorrência com outros jobs e mensagens esperadas no spool.
Nível 4 — Erros comuns: valores incompatíveis, suposição errada sobre catálogo ou permissão, ausência de dataset pré-existente, combinação ruim com DISP/SPACE/DCB e leitura superficial do JESMSGLG/JESJCL.
Nível 5 — Critério sênior: em produção, padronize KEEP versus CATLG com convenções do site, documente exceções, pense em rerun seguro e valide o comportamento real pelo RC, por mensagens IEC/IEF e pelo conteúdo gerado."
Mainframe,JCL/Utilitários,Como diagnosticar problema relacionado a DISP?,"Mostre sinais, causas prováveis e passos de correção.","Nível 1 — Conceito: DISP em JCL deve ser entendido como recurso de controle, alocação ou execução conforme o contexto do job
Nível 2 — Operação: em ambiente batch, o uso correto de DISP influencia alocação, controle de execução, legibilidade do job e capacidade de diagnóstico quando algo falha.
Nível 3 — Prática: ao configurar DISP, avalie volume de dados, necessidade de catálogo, possibilidade de restart, concorrência com outros jobs e mensagens esperadas no spool.
Nível 4 — Erros comuns: valores incompatíveis, suposição errada sobre catálogo ou permissão, ausência de dataset pré-existente, combinação ruim com DISP/SPACE/DCB e leitura superficial do JESMSGLG/JESJCL.
Nível 5 — Critério sênior: em produção, padronize DISP com convenções do site, documente exceções, pense em rerun seguro e valide o comportamento real pelo RC, por mensagens IEC/IEF e pelo conteúdo gerado."
Mainframe,JCL/Controle,Quais erros são comuns ao usar DSN?,"Responda em níveis, do básico ao avançado.","Nível 1 — Conceito: DSN em JCL deve ser entendido como recurso de controle, alocação ou execução conforme o contexto do job
Nível 2 — Operação: em ambiente batch, o uso correto de DSN influencia alocação, controle de execução, legibilidade do job e capacidade de diagnóstico quando algo falha.
Nível 3 — Prática: ao configurar DSN, avalie volume de dados, necessidade de catálogo, possibilidade de restart, concorrência com outros jobs e mensagens esperadas no spool.
Nível 4 — Erros comuns: valores incompatíveis, suposição errada sobre catálogo ou permissão, ausência de dataset pré-existente, combinação ruim com DISP/SPACE/DCB e leitura superficial do JESMSGLG/JESJCL.
Nível 5 — Critério sênior: em produção, padronize DSN com convenções do site, documente exceções, pense em rerun seguro e valide o comportamento real pelo RC, por mensagens IEC/IEF e pelo conteúdo gerado."
Mainframe,JCL/Produção,Como escrever um exemplo de JCL usando SPACE?,Explique a lógica e as decisões do exemplo.,"Nível 1 — Conceito: SPACE em JCL deve ser entendido como recurso de controle, alocação ou execução conforme o contexto do job
Nível 2 — Operação: em ambiente batch, o uso correto de SPACE influencia alocação, controle de execução, legibilidade do job e capacidade de diagnóstico quando algo falha.
Nível 3 — Prática: ao configurar SPACE, avalie volume de dados, necessidade de catálogo, possibilidade de restart, concorrência com outros jobs e mensagens esperadas no spool.
Nível 4 — Erros comuns: valores incompatíveis, suposição errada sobre catálogo ou permissão, ausência de dataset pré-existente, combinação ruim com DISP/SPACE/DCB e leitura superficial do JESMSGLG/JESJCL.
Nível 5 — Critério sênior: em produção, padronize SPACE com convenções do site, documente exceções, pense em rerun seguro e valide o comportamento real pelo RC, por mensagens IEC/IEF e pelo conteúdo gerado."
Mainframe,JCL/GDG,Por que DCB é importante em rotinas batch?,Contextualize com operação real de mainframe.,"Nível 1 — Conceito: DCB em JCL deve ser entendido como recurso de controle, alocação ou execução conforme o contexto do job
Nível 2 — Operação: em ambiente batch, o uso correto de DCB influencia alocação, controle de execução, legibilidade do job e capacidade de diagnóstico quando algo falha.
Nível 3 — Prática: ao configurar DCB, avalie volume de dados, necessidade de catálogo, possibilidade de restart, concorrência com outros jobs e mensagens esperadas no spool.
Nível 4 — Erros comuns: valores incompatíveis, suposição errada sobre catálogo ou permissão, ausência de dataset pré-existente, combinação ruim com DISP/SPACE/DCB e leitura superficial do JESMSGLG/JESJCL.
Nível 5 — Critério sênior: em produção, padronize DCB com convenções do site, documente exceções, pense em rerun seguro e valide o comportamento real pelo RC, por mensagens IEC/IEF e pelo conteúdo gerado."
Mainframe,JCL/VSAM,Como RECFM afeta desempenho ou confiabilidade?,"Considere volume, restart e manutenção.","Nível 1 — Conceito: RECFM em JCL deve ser entendido como recurso de controle, alocação ou execução conforme o contexto do job
Nível 2 — Operação: em ambiente batch, o uso correto de RECFM influencia alocação, controle de execução, legibilidade do job e capacidade de diagnóstico quando algo falha.
Nível 3 — Prática: ao configurar RECFM, avalie volume de dados, necessidade de catálogo, possibilidade de restart, concorrência com outros jobs e mensagens esperadas no spool.
Nível 4 — Erros comuns: valores incompatíveis, suposição errada sobre catálogo ou permissão, ausência de dataset pré-existente, combinação ruim com DISP/SPACE/DCB e leitura superficial do JESMSGLG/JESJCL.
Nível 5 — Critério sênior: em produção, padronize RECFM com convenções do site, documente exceções, pense em rerun seguro e valide o comportamento real pelo RC, por mensagens IEC/IEF e pelo conteúdo gerado."
Mainframe,JCL/DFSORT,O que faz o parâmetro LRECL em JCL?,"Explique o papel, quando usar e o que muda na execução.","Nível 1 — Conceito: LRECL em JCL deve ser entendido como recurso de controle, alocação ou execução conforme o contexto do job
Nível 2 — Operação: em ambiente batch, o uso correto de LRECL influencia alocação, controle de execução, legibilidade do job e capacidade de diagnóstico quando algo falha.
Nível 3 — Prática: ao configurar LRECL, avalie volume de dados, necessidade de catálogo, possibilidade de restart, concorrência com outros jobs e mensagens esperadas no spool.
Nível 4 — Erros comuns: valores incompatíveis, suposição errada sobre catálogo ou permissão, ausência de dataset pré-existente, combinação ruim com DISP/SPACE/DCB e leitura superficial do JESMSGLG/JESJCL.
Nível 5 — Critério sênior: em produção, padronize LRECL com convenções do site, documente exceções, pense em rerun seguro e valide o comportamento real pelo RC, por mensagens IEC/IEF e pelo conteúdo gerado."
Mainframe,JCL/DB2,Qual é a diferença entre GDG e dataset sequencial comum em JCL?,"Compare os cenários, riscos e exemplos práticos.","Nível 1 — Conceito: GDG versus dataset sequencial comum em JCL define diferença prática entre gdg e dataset sequencial comum, mostrando quando cada um faz mais sentido
Nível 2 — Operação: em ambiente batch, o uso correto de GDG versus dataset sequencial comum influencia alocação, controle de execução, legibilidade do job e capacidade de diagnóstico quando algo falha.
Nível 3 — Prática: ao configurar GDG versus dataset sequencial comum, avalie volume de dados, necessidade de catálogo, possibilidade de restart, concorrência com outros jobs e mensagens esperadas no spool.
Nível 4 — Erros comuns: valores incompatíveis, suposição errada sobre catálogo ou permissão, ausência de dataset pré-existente, combinação ruim com DISP/SPACE/DCB e leitura superficial do JESMSGLG/JESJCL.
Nível 5 — Critério sênior: em produção, padronize GDG versus dataset sequencial comum com convenções do site, documente exceções, pense em rerun seguro e valide o comportamento real pelo RC, por mensagens IEC/IEF e pelo conteúdo gerado."
