space,subspace,title,lang,description,code
mainframe,jcl/basico,"JCL 001 - Exemplo de JOB com classe, msgclass e notificação",jcl,Mostra um esqueleto inicial de JOB com parâmetros comuns de execução. Variante 1.,"//JOB001   JOB (ACCT),'EXEMPLO 1',CLASS=A,MSGCLASS=X,NOTIFY=&SYSUID
//STEP1    EXEC PGM=IEFBR14
//DD1      DD   DSN=USER1.TEMP.FILE,DISP=(NEW,CATLG,DELETE),
//             SPACE=(TRK,(1,1)),UNIT=SYSDA"
mainframe,jcl/datasets,JCL 002 - Alocação de dataset com IEFBR14,jcl,Usa IEFBR14 apenas para alocar e catalogar um dataset físico. Variante 2.,"//ALOC002 JOB (ACCT),'ALLOC 2',CLASS=A,MSGCLASS=X,NOTIFY=&SYSUID
//ALLOC    EXEC PGM=IEFBR14
//ARQ1     DD   DSN=USER2.TEST.SEQ,DISP=(NEW,CATLG,DELETE),
//             DCB=(RECFM=FB,LRECL=80,BLKSIZE=800),
//             SPACE=(CYL,(1,1),RLSE),UNIT=SYSDA"
mainframe,jcl/utilitarios,JCL 003 - SORT com campos posicionais,jcl,Ordena registros por uma chave simples usando DFSORT/SYNCSORT. Variante 3.,"//SORT003 JOB (ACCT),'SORT 3',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=SORT
//SORTIN   DD   DSN=USER3.INPUT,DISP=SHR
//SORTOUT  DD   DSN=USER3.OUTPUT,DISP=(NEW,CATLG,DELETE),
//             SPACE=(CYL,(1,1),RLSE),UNIT=SYSDA,
//             DCB=(RECFM=FB,LRECL=80,BLKSIZE=0)
//SYSIN    DD   *
  SORT FIELDS=(1,10,CH,A)
/*"
mainframe,jcl/utilitarios,JCL 004 - Cópia de PDS com IEBCOPY,jcl,Copia membros entre bibliotecas particionadas. Variante 4.,"//COPY004 JOB (ACCT),'COPY 4',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=IEBCOPY
//SYSPRINT DD   SYSOUT=*
//SYSUT1   DD   DSN=USER4.SRC.PDS,DISP=SHR
//SYSUT2   DD   DSN=USER4.BKP.PDS,DISP=SHR
//SYSIN    DD   *
  COPY OUTDD=SYSUT2,INDD=SYSUT1
/*"
mainframe,jcl/utilitarios,JCL 005 - IDCAMS DEFINE CLUSTER,jcl,Cria um KSDS simples com chave e espaço inicial. Variante 5.,"//VSAM005 JOB (ACCT),'VSAM 5',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=IDCAMS
//SYSPRINT DD   SYSOUT=*
//SYSIN    DD   *
  DEFINE CLUSTER(NAME(USER5.ARQ.KSDS) -
         INDEXED -
         KEYS(10 0) -
         RECORDSIZE(100 100) -
         FREESPACE(10 10) -
         CYLINDERS(1 1))
/*"
mainframe,jcl/execucao,JCL 006 - Uso de COND para pular step,jcl,Evita executar o step seguinte quando o RC atende a uma condição definida. Variante 6.,"//COND006 JOB (ACCT),'COND 6',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=PROGA
//STEP2    EXEC PGM=PROGB,COND=(4,LT,STEP1)
//STEPLIB  DD   DSN=USER.LOADLIB,DISP=SHR"
mainframe,jcl/execucao,JCL 007 - Estrutura IF/THEN/ELSE em JCL,jcl,Controla passos com sintaxe mais legível do que COND em fluxos maiores. Variante 7.,"//IFEL007 JOB (ACCT),'IFEL 7',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=PROGA
//IFOK     IF (STEP1.RC = 0) THEN
//STEP2      EXEC PGM=PROGB
//ELSE       
//STEP3      EXEC PGM=PROGC
//ENDIF    ENDIF
//* Observação: variante 7 com foco em retorno e catalogação"
mainframe,jcl/procedures,JCL 008 - Chamada de PROC catalogada,jcl,Executa uma procedure reutilizável e sobrescreve parâmetros. Variante 8.,"//PROC008 JOB (ACCT),'PROC 8',CLASS=A,MSGCLASS=X
//ETAPA1   EXEC MINHAPRC,ARQENT=USER8.IN,ARQSAI=USER8.OUT"
mainframe,jcl/generico,JCL 009 - PROC in-stream com símbolo,jcl,Define uma PROC no próprio job usando parâmetros simbólicos. Variante 9.,"//INPR009 JOB (ACCT),'INPROC 9',CLASS=A,MSGCLASS=X
//MINIPROC PROC PGMN=IEFBR14
//PASSO1   EXEC PGM=&PGMN
//PEND
//STEP1    EXEC MINIPROC,PGMN=IDCAMS"
mainframe,jcl/dd,JCL 010 - Exemplo com DISP detalhado,jcl,Mostra intenção de uso e descarte em sucesso e falha. Variante 10.,"//DISP010 JOB (ACCT),'DISP 10',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=PROGA
//ARQENT   DD   DSN=CORP.BASE.CLIENTE,DISP=SHR
//ARQSAI   DD   DSN=USER10.SAIDA,DISP=(NEW,CATLG,DELETE),
//             SPACE=(TRK,(10,5),RLSE),UNIT=SYSDA,
//             DCB=(RECFM=FB,LRECL=200,BLKSIZE=0)"
mainframe,jcl/basico,"JCL 011 - Exemplo de JOB com classe, msgclass e notificação",jcl,Mostra um esqueleto inicial de JOB com parâmetros comuns de execução. Variante 11.,"//JOB011   JOB (ACCT),'EXEMPLO 11',CLASS=A,MSGCLASS=X,TYPRUN=HOLD,NOTIFY=&SYSUID
//STEP1    EXEC PGM=IEFBR14
//DD1      DD   DSN=USER11.TEMP.FILE,DISP=(NEW,CATLG,DELETE),
//             SPACE=(TRK,(1,1)),UNIT=SYSDA"
mainframe,jcl/datasets,JCL 012 - Alocação de dataset com IEFBR14,jcl,Usa IEFBR14 apenas para alocar e catalogar um dataset físico. Variante 12.,"//ALOC012 JOB (ACCT),'ALLOC 12',CLASS=A,MSGCLASS=X,NOTIFY=&SYSUID
//ALLOC    EXEC PGM=IEFBR14
//ARQ1     DD   DSN=USER12.TEST.SEQ,DISP=(NEW,CATLG,DELETE),
//             DCB=(RECFM=FB,LRECL=80,BLKSIZE=800),
//             SPACE=(CYL,(1,1),RLSE),UNIT=SYSDA"
mainframe,jcl/utilitarios,JCL 013 - SORT com campos posicionais,jcl,Ordena registros por uma chave simples usando DFSORT/SYNCSORT. Variante 13.,"//SORT013 JOB (ACCT),'SORT 13',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=SORT
//SORTIN   DD   DSN=USER13.INPUT,DISP=SHR
//SORTOUT  DD   DSN=USER13.OUTPUT,DISP=(NEW,CATLG,DELETE),
//             SPACE=(CYL,(1,1),RLSE),UNIT=SYSDA,
//             DCB=(RECFM=FB,LRECL=80,BLKSIZE=0)
//SYSIN    DD   *
  SORT FIELDS=(1,10,CH,A)
/*"
mainframe,jcl/utilitarios,JCL 014 - Cópia de PDS com IEBCOPY,jcl,Copia membros entre bibliotecas particionadas. Variante 14.,"//COPY014 JOB (ACCT),'COPY 14',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=IEBCOPY
//SYSPRINT DD   SYSOUT=*
//SYSUT1   DD   DSN=USER14.SRC.PDS,DISP=SHR
//SYSUT2   DD   DSN=USER14.BKP.PDS,DISP=SHR
//SYSIN    DD   *
  COPY OUTDD=SYSUT2,INDD=SYSUT1
/*
//* Observação: variante 14 com foco em retorno e catalogação"
mainframe,jcl/utilitarios,JCL 015 - IDCAMS DEFINE CLUSTER,jcl,Cria um KSDS simples com chave e espaço inicial. Variante 15.,"//VSAM015 JOB (ACCT),'VSAM 15',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=IDCAMS
//SYSPRINT DD   SYSOUT=*
//SYSIN    DD   *
  DEFINE CLUSTER(NAME(USER15.ARQ.KSDS) -
         INDEXED -
         KEYS(10 0) -
         RECORDSIZE(100 100) -
         FREESPACE(10 10) -
         CYLINDERS(1 1))
/*"
mainframe,jcl/execucao,JCL 016 - Uso de COND para pular step,jcl,Evita executar o step seguinte quando o RC atende a uma condição definida. Variante 16.,"//COND016 JOB (ACCT),'COND 16',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=PROGA
//STEP2    EXEC PGM=PROGB,COND=(4,LT,STEP1)
//STEPLIB  DD   DSN=USER.LOADLIB,DISP=SHR"
mainframe,jcl/execucao,JCL 017 - Estrutura IF/THEN/ELSE em JCL,jcl,Controla passos com sintaxe mais legível do que COND em fluxos maiores. Variante 17.,"//IFEL017 JOB (ACCT),'IFEL 17',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=PROGA
//IFOK     IF (STEP1.RC = 0) THEN
//STEP2      EXEC PGM=PROGB
//ELSE       
//STEP3      EXEC PGM=PROGC
//ENDIF    ENDIF"
mainframe,jcl/procedures,JCL 018 - Chamada de PROC catalogada,jcl,Executa uma procedure reutilizável e sobrescreve parâmetros. Variante 18.,"//PROC018 JOB (ACCT),'PROC 18',CLASS=A,MSGCLASS=X
//ETAPA1   EXEC MINHAPRC,ARQENT=USER18.IN,ARQSAI=USER18.OUT"
mainframe,jcl/generico,JCL 019 - PROC in-stream com símbolo,jcl,Define uma PROC no próprio job usando parâmetros simbólicos. Variante 19.,"//INPR019 JOB (ACCT),'INPROC 19',CLASS=A,MSGCLASS=X
//MINIPROC PROC PGMN=IEFBR14
//PASSO1   EXEC PGM=&PGMN
//PEND
//STEP1    EXEC MINIPROC,PGMN=IDCAMS"
mainframe,jcl/dd,JCL 020 - Exemplo com DISP detalhado,jcl,Mostra intenção de uso e descarte em sucesso e falha. Variante 20.,"//DISP020 JOB (ACCT),'DISP 20',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=PROGA
//ARQENT   DD   DSN=CORP.BASE.CLIENTE,DISP=SHR
//ARQSAI   DD   DSN=USER20.SAIDA,DISP=(NEW,CATLG,DELETE),
//             SPACE=(TRK,(10,5),RLSE),UNIT=SYSDA,
//             DCB=(RECFM=FB,LRECL=200,BLKSIZE=0)"
mainframe,jcl/basico,"JCL 021 - Exemplo de JOB com classe, msgclass e notificação",jcl,Mostra um esqueleto inicial de JOB com parâmetros comuns de execução. Variante 21.,"//JOB021   JOB (ACCT),'EXEMPLO 21',CLASS=A,MSGCLASS=X,NOTIFY=&SYSUID
//STEP1    EXEC PGM=IEFBR14
//DD1      DD   DSN=USER21.TEMP.FILE,DISP=(NEW,CATLG,DELETE),
//             SPACE=(TRK,(1,1)),UNIT=SYSDA
//* Observação: variante 21 com foco em retorno e catalogação"
mainframe,jcl/datasets,JCL 022 - Alocação de dataset com IEFBR14,jcl,Usa IEFBR14 apenas para alocar e catalogar um dataset físico. Variante 22.,"//ALOC022 JOB (ACCT),'ALLOC 22',CLASS=A,MSGCLASS=X,TYPRUN=HOLD,NOTIFY=&SYSUID
//ALLOC    EXEC PGM=IEFBR14
//ARQ1     DD   DSN=USER22.TEST.SEQ,DISP=(NEW,CATLG,DELETE),
//             DCB=(RECFM=FB,LRECL=80,BLKSIZE=800),
//             SPACE=(CYL,(1,1),RLSE),UNIT=SYSDA"
mainframe,jcl/utilitarios,JCL 023 - SORT com campos posicionais,jcl,Ordena registros por uma chave simples usando DFSORT/SYNCSORT. Variante 23.,"//SORT023 JOB (ACCT),'SORT 23',CLASS=A,MSGCLASS=X
//STEP1    EXEC PGM=SORT
//SORTIN   DD   DSN=USER23.INPUT,DISP=SHR
//SORTOUT  DD   DSN=USER23.OUTPUT,DISP=(NEW,CATLG,DELETE),
//             SPACE=(CYL,(1,1),RLSE),UNIT=SYSDA,
//             DCB=(RECFM=FB,LRECL=80,BLKSIZE=0)
//SYSIN    DD   *
  SORT FIELDS=(1,10,CH,A)
/*"
