kind,space,subspace,spaceIcon,subspaceIcon,title,lang,description,code
code,mainframe,jcl/basico,,,JCL 001 - JOB de fechamento diário para cobrança com CLASS=A e MSGCLASS=X,jcl,"Configura um JOB batch para cobrança, ajustando fila, saída de mensagens e NOTIFY para o lote de fechamento diário.","//JOB001   JOB (ACCT),'COBR FCH',CLASS=A,MSGCLASS=X,NOTIFY=&SYSUID
//STEP1     EXEC PGM=IEFBR14
//DD1       DD   DSN=USER.COBR.FCH.TEMP.PE,DISP=(NEW,CATLG,DELETE),
//             SPACE=(TRK,(1,1)),UNIT=SYSDA,
//             DCB=(RECFM=FB,LRECL=80,BLKSIZE=800)"
code,mainframe,jcl/datasets,,,JCL 002 - IEFBR14 para alocar arquivo de fechamento diário em cobrança,jcl,"Aloca e cataloga um dataset para a rotina de fechamento diário de cobrança, variando DCB e SPACE conforme o cenário.","//ALOC002 JOB (ACCT),'COBR FCH',CLASS=A,MSGCLASS=X,NOTIFY=&SYSUID
//ALLOC     EXEC PGM=IEFBR14
//ARQ1      DD   DSN=USER.COBR.FCH.ENTRADA.PE,DISP=(NEW,CATLG,DELETE),
//             DCB=(RECFM=FB,LRECL=80,BLKSIZE=800),
//             SPACE=(CYL,(1,1),RLSE),UNIT=SYSDA"
code,mainframe,jcl/utilitarios,,,JCL 003 - DFSORT para ordenar registros de cobrança na rotina de fechamento diário,jcl,"Ordena um arquivo sequencial usando chave posicional, útil para preparar dados de cobrança antes do passo de fechamento diário.","//SRT003   JOB (ACCT),'COBR FCH',CLASS=A,MSGCLASS=X
//SORTSTEP  EXEC PGM=SORT
//SORTIN    DD   DSN=USER.COBR.FCH.INPUT.PE,DISP=SHR
//SORTOUT   DD   DSN=USER.COBR.FCH.SORTED.PE,DISP=(NEW,CATLG,DELETE),
//             SPACE=(CYL,(1,1),RLSE),UNIT=SYSDA
//SYSIN     DD   *
  SORT FIELDS=(1,5,CH,A)
  OPTION EQUALS
/*"
code,mainframe,jcl/utilitarios,,,JCL 004 - IEBCOPY para promover membros de cobrança em fechamento diário,jcl,"Copia membros selecionados entre bibliotecas particionadas, típico de promoção de utilitários ou PROC de cobrança.","//CPY004   JOB (ACCT),'COBR FCH',CLASS=A,MSGCLASS=X
//CPYLIB    EXEC PGM=IEBCOPY
//SYSPRINT  DD   SYSOUT=*
//SYSUT1    DD   DSN=USER.COBR.FCH.PDS.SOURCE,DISP=SHR
//SYSUT2    DD   DSN=USER.COBR.FCH.PDS.TARGET,DISP=SHR
//SYSIN     DD   *
  COPY OUTDD=SYSUT2,INDD=SYSUT1
  SELECT MEMBER=(COBRFCH)
/*"
code,mainframe,jcl/utilitarios,,,JCL 005 - IDCAMS DEFINE CLUSTER para VSAM de cobrança em fechamento diário,jcl,"Cria um KSDS para armazenar dados de cobrança, ajustando tamanho de chave e de registro conforme a rotina de fechamento diário.","//IDC005   JOB (ACCT),'COBR FCH',CLASS=A,MSGCLASS=X
//DEFKSDS   EXEC PGM=IDCAMS
//SYSPRINT  DD   SYSOUT=*
//SYSIN     DD   *
  DEFINE CLUSTER(NAME(USER.COBR.FCH.KSDS) -
         INDEXED -
         KEYS(8 0) -
         RECORDSIZE(120 120) -
         SHAREOPTIONS(2 3) -
         VOLUMES(WRK001)) -
         DATA(NAME(USER.COBR.FCH.KSDS.DATA)) -
         INDEX(NAME(USER.COBR.FCH.KSDS.INDEX))
/*"
code,mainframe,jcl/execucao,,,JCL 006 - COND para bloquear step de fechamento diário em cobrança,jcl,Pula a etapa seguinte quando a validação de cobrança retorna RC compatível com a regra operacional definida para fechamento diário.,"//COND006 JOB (ACCT),'COBR FCH',CLASS=A,MSGCLASS=X,NOTIFY=&SYSUID
//VALIDA    EXEC PGM=VALCOBR
//ENTRADA   DD   DSN=USER.COBR.FCH.INPUT.PE,DISP=SHR
//PROCESSA  EXEC PGM=PRCCOBR,COND=(4,LT,VALIDA)
//SAIDA     DD   DSN=USER.COBR.FCH.SAIDA.PE,DISP=(NEW,CATLG,DELETE),
//             SPACE=(CYL,(1,1),RLSE),UNIT=SYSDA"
code,mainframe,jcl/execucao,,,JCL 007 - IF/THEN/ELSE para desviar processamento de cobrança em fechamento diário,jcl,"Encaminha o job para o caminho normal ou alternativo de fechamento diário, conforme RC do step anterior.","//IF007    JOB (ACCT),'COBR FCH',CLASS=A,MSGCLASS=X
//EXTRAI    EXEC PGM=EXTCOBR
//CHECKRC   IF (EXTRAI.RC <= 0) THEN
//CARGA     EXEC PGM=LDCOBR
//OUTOK     DD   DSN=USER.COBR.FCH.OK.PE,DISP=(NEW,CATLG,DELETE),
//             SPACE=(TRK,(2,1)),UNIT=SYSDA
//ELSE
//ERRO      EXEC PGM=GERRPT
//OUTERR    DD   DSN=USER.COBR.FCH.ERRO.PE,DISP=(NEW,CATLG,DELETE),
//             SPACE=(TRK,(1,1)),UNIT=SYSDA
//ENDIF     ENDIF"
code,mainframe,jcl/procedures,,,JCL 008 - PROC catalogada para fechamento diário de cobrança,jcl,Chama uma PROC reutilizável e sobrescreve parâmetros simbólicos para adaptar o processamento ao domínio de cobrança.,"//PRC008   JOB (ACCT),'COBR FCH',CLASS=A,MSGCLASS=X
//EXECROT   EXEC PROCCOBR,ARQIN=USER.COBR.FCH.IN.PE,ARQOUT=USER.COBR.FCH.OUT.PE,
//             REG=0M,TIPO=FCH"
code,mainframe,jcl/generico,,,JCL 009 - PROC in-stream parametrizada para cobrança em fechamento diário,jcl,"Define uma procedure no próprio job com símbolos para variar entrada, saída e modo de execução da rotina de fechamento diário.","//ISP009   JOB (ACCT),'COBR FCH',CLASS=A,MSGCLASS=X
//ETAPA     PROC ARQIN=,ARQOUT=
//STEP1     EXEC PGM=PRCCOBR
//INFILE    DD   DSN=&ARQIN,DISP=SHR
//OUTFILE   DD   DSN=&ARQOUT,DISP=(NEW,CATLG,DELETE),
//             SPACE=(TRK,(2,1)),UNIT=SYSDA
//          PEND
//RUNPROC   EXEC ETAPA,ARQIN=USER.COBR.FCH.RAW.PE,ARQOUT=USER.COBR.FCH.NORM.PE"
code,mainframe,jcl/dd,,,JCL 010 - DISP detalhado para arquivo de cobrança em fechamento diário,jcl,"Mostra um triplo DISP NEW,CATLG,DELETE e o efeito prático de sucesso, falha ou término anormal sobre um dataset de cobrança.","//DSP010   JOB (ACCT),'COBR FCH',CLASS=A,MSGCLASS=X
//STEP1     EXEC PGM=IEFBR14
//ARQ1      DD   DSN=USER.COBR.FCH.ARQ.PE,DISP=(NEW,CATLG,DELETE),
//             SPACE=(TRK,(1,1)),UNIT=SYSDA"
