id,nivel,categoria,pergunta,resposta,tags
1,1,DIVISION IDENTIFICATION,Qual é a diferença entre usar e não usar IDENTIFICATION DIVISION em COBOL?,"Nível 1 - Conceito: IDENTIFICATION DIVISION apresenta metadados do programa, como PROGRAM-ID e autor, e ajuda na identificação e governança do fonte. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte.","IDENTIFICATION DIVISION, nível 1, cobol"
2,2,DIVISION ENVIRONMENT,Explique para que serve ENVIRONMENT DIVISION em COBOL.,"Nível 1 - Conceito: ENVIRONMENT DIVISION concentra informações de configuração do ambiente, especialmente mapeamento de arquivos e detalhes dependentes de plataforma. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto.","ENVIRONMENT DIVISION, nível 2, cobol"
3,3,DIVISION DATA,Qual é a diferença entre usar e não usar DATA DIVISION em COBOL?,"Nível 1 - Conceito: DATA DIVISION define estruturas de dados, registros, tabelas, variáveis e layouts usados pelo programa. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: o erro típico é usar DATA DIVISION sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes.","DATA DIVISION, nível 3, cobol"
4,4,DIVISION PROCEDURE,Quais armadilhas comuns aparecem ao usar PROCEDURE DIVISION em sistemas legados COBOL?,"Nível 1 - Conceito: PROCEDURE DIVISION contém a lógica executável, com parágrafos, seções, comandos de controle e chamadas. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: o erro típico é usar PROCEDURE DIVISION sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: a melhor escolha não é a mais curta, e sim a que preserva intenção, governança de dados e facilidade de suporte após a entrada em produção.","PROCEDURE DIVISION, nível 4, cobol"
5,5,PROGRAM-ID,Quais armadilhas comuns aparecem ao usar PROGRAM-ID em sistemas legados COBOL?,"Nível 1 - Conceito: PROGRAM-ID nomeia o programa de forma inequívoca, sendo o ponto de referência para compilação, chamada e manutenção. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto. Nível 4 - Cuidados: o erro típico é usar PROGRAM-ID sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: a melhor escolha não é a mais curta, e sim a que preserva intenção, governança de dados e facilidade de suporte após a entrada em produção. Nível 6 - Sinal de maturidade: quem domina PROGRAM-ID não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","PROGRAM-ID, nível 5, cobol"
6,1,WORKING-STORAGE,Explique para que serve WORKING-STORAGE SECTION em COBOL.,"Nível 1 - Conceito: WORKING-STORAGE SECTION declara dados persistentes durante a execução do programa, úteis para acumuladores, flags e áreas de trabalho. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto.","WORKING-STORAGE SECTION, nível 1, cobol"
7,2,LOCAL-STORAGE,Como LOCAL-STORAGE SECTION impacta manutenção e legibilidade em COBOL?,"Nível 1 - Conceito: LOCAL-STORAGE SECTION declara dados recriados a cada entrada do programa, muito útil quando se quer evitar reaproveitamento indevido de conteúdo. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo.","LOCAL-STORAGE SECTION, nível 2, cobol"
8,3,LINKAGE,Quais cuidados devo ter ao trabalhar com LINKAGE SECTION em COBOL?,"Nível 1 - Conceito: LINKAGE SECTION descreve parâmetros recebidos de outro programa; ela define a interface, não a alocação principal. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: o erro típico é usar LINKAGE SECTION sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes.","LINKAGE SECTION, nível 3, cobol"
9,4,FILE SECTION,"Em um ambiente corporativo, quais riscos e benefícios existem ao adotar FILE SECTION em COBOL?","Nível 1 - Conceito: FILE SECTION descreve os registros associados aos arquivos declarados no ambiente e serve de base para READ, WRITE e REWRITE. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: o erro típico é usar FILE SECTION sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: a melhor escolha não é a mais curta, e sim a que preserva intenção, governança de dados e facilidade de suporte após a entrada em produção.","FILE SECTION, nível 4, cobol"
10,5,FD,Que critérios técnicos ajudam a decidir o uso de FD em COBOL?,"Nível 1 - Conceito: FD associa a descrição lógica do arquivo ao layout do registro, inclusive blocagem, labels e formato do record. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto. Nível 4 - Cuidados: o erro típico é usar FD sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: a melhor escolha não é a mais curta, e sim a que preserva intenção, governança de dados e facilidade de suporte após a entrada em produção. Nível 6 - Sinal de maturidade: quem domina FD não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","FD, nível 5, cobol"
