kind,space,subspace,spaceIcon,subspaceIcon,title,prompt,modelAnswer
exercise,Perguntas Estudo,Datasets,,,Conceito de Dataset,O que é um dataset no mainframe z/OS?,"É a unidade básica de armazenamento de dados no z/OS, equivalente a um arquivo em outros sistemas. Todo dado persistente — programas, logs, configurações — reside em datasets catalogados ou não no sistema."
exercise,Perguntas Estudo,Datasets,,,Tipos Principais,Quais são os dois grandes grupos de organização de datasets?,Sequenciais (PS - Physical Sequential) e Particionados (PO - Partitioned Data Set / PDS e PDSE). PS armazena registros em sequência contínua; PO funciona como um diretório com membros individuais.
exercise,Perguntas Estudo,Datasets,,,PDS vs PDSE,Qual a diferença entre PDS e PDSE?,"PDS (Partitioned Data Set) tem diretório de tamanho fixo e sofre fragmentação ao excluir membros; PDSE (PDS Extended) gerencia espaço dinamicamente, suporta membros de programa (load modules) com maior eficiência e não fragmenta."
exercise,Perguntas Estudo,Datasets,,,DSORG,O que significa o parâmetro DSORG no JCL?,"Define a organização do dataset: PS (Physical Sequential), PO (Partitioned), DA (Direct Access), IS (Indexed Sequential/ISAM). Determina como o z/OS gerencia a leitura/escrita dos registros."
exercise,Perguntas Estudo,Datasets,,,RECFM,Explique os valores possíveis de RECFM.,"F=Fixed (registros tamanho fixo), V=Variable (tamanho variável com RDW de 4 bytes), B=Blocked (múltiplos registros por bloco), A=ASA control character, M=Machine control character, U=Undefined. Combinações comuns: FB, VB, FBA, VBA."
exercise,Perguntas Estudo,Datasets,,,LRECL,O que é LRECL e como se calcula para RECFM=VB?,"LRECL (Logical Record Length) é o tamanho máximo do registro lógico. Para VB, o LRECL inclui os 4 bytes do RDW (Record Descriptor Word). Então se o dado tem 100 bytes, LRECL=104."
exercise,Perguntas Estudo,Datasets,,,BLKSIZE,Como o BLKSIZE afeta a performance de I/O?,"BLKSIZE define quantos bytes cabem em um bloco físico no disco. Blocos maiores reduzem o número de operações de I/O e overhead de inter-block gaps, melhorando performance. Para FB, BLKSIZE deve ser múltiplo de LRECL. Para VB, BLKSIZE >= LRECL + 4 (BDW)."
exercise,Perguntas Estudo,Datasets,,,SPACE,"Explique a alocação de espaço com SPACE=(CYL,(10,5)).",Aloca espaço em cilindros: 10 cilindros primários (alocados na criação) e 5 cilindros secundários (até 15 extensões adicionais quando o primário enche). Pode-se usar TRK (tracks) ou o tamanho médio do bloco em bytes.
exercise,Perguntas Estudo,Datasets,,,Catálogo,O que é o catálogo do z/OS e qual sua importância?,"O catálogo (ICF Catalog) é um conjunto de datasets VSAM que mapeia nomes de datasets para seus volumes físicos (DASD). Sem catalogação, o usuário precisaria informar o volume em todo acesso. O Master Catalog é a raiz; User Catalogs organizam por HLQ."
exercise,Perguntas Estudo,Datasets,,,HLQ,O que é o HLQ de um dataset?,High Level Qualifier é o primeiro qualificador do nome (ex: Z77948 em Z77948.COBOL.SOURCE). Geralmente identifica o usuário ou sistema proprietário. O RACF e o catálogo usam o HLQ para segurança e organização.
exercise,Perguntas Estudo,Datasets,,,GDG,O que é um GDG e para que serve?,"Generation Data Group é um grupo de datasets versionados com mesmo nome base. Cada geração é referenciada por número relativo: (0) = atual, (-1) = anterior, (+1) = nova. Ideal para backups incrementais, logs diários e ciclos de processamento batch."
