kind,space,subspace,spaceIcon,subspaceIcon,title,prompt,modelAnswer
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 001 - IEFBR14,O que é o IEFBR14 e em que tipo de situação ele aparece em JCL? Responda como em uma entrevista técnica objetiva.,"É um programa quase nulo usado principalmente para satisfazer EXECs simples, como alocação/remoção de datasets via DD."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 002 - Cenário prático: IGYCRCTL,"Em um cenário real de operação ou desenvolvimento, Qual é o papel do IGYCRCTL no fluxo de compilação COBOL?",É o compilador COBOL; traduz o fonte em objeto/listagem e emite mensagens de compilação.
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 003 - Troubleshooting: IGYWCL,"Durante uma investigação em mainframe, Por que sites usam procedure catalogada como IGYWCL em vez de chamar componentes isolados?","Porque encapsula compile e linkage com parâmetros padronizados, simplificando o JCL."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 004 - Conceito central: HEWL/IEWL,Explique em alto nível: Qual é a função do link-editor após a compilação?,Resolver referências externas e gerar o módulo carregável na LOADLIB.
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 005 - Pergunta de recrutador: IEBGENER,Se eu te perguntasse em entrevista: Quando IEBGENER é suficiente e quando você trocaria por SORT ou programa próprio?,"Ele serve para cópia simples; se houver transformação ou ordenação, outro utilitário é mais adequado."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 006 - IEBCOPY,Para que serve IEBCOPY em bibliotecas PDS/PDSE? Responda como em uma entrevista técnica objetiva.,"Copiar, comprimir ou mover membros entre bibliotecas."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 007 - Cenário prático: DFSORT,"Em um cenário real de operação ou desenvolvimento, Cite usos típicos de DFSORT em processamento batch.","Ordenação, cópia condicional, filtragem, joins simples, reformatting e sumarização."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 008 - Troubleshooting: ICETOOL,"Durante uma investigação em mainframe, Como ICETOOL complementa DFSORT?","Oferece comandos mais declarativos para relatórios, contagens, splits e validações."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 009 - Conceito central: IKJEFT01,Explique em alto nível: Quando IKJEFT01 é usado em batch?,"Para executar comandos TSO, programas sob TSO ou passos que dependem do ambiente TSO em batch."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 010 - Pergunta de recrutador: IDCAMS,Se eu te perguntasse em entrevista: Em que cenário IDCAMS é indispensável?,"Na criação, manutenção e carga de datasets VSAM, além de LISTCAT/REPRO/DELETE."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 011 - IEHLIST,Para que IEHLIST é útil em troubleshooting? Responda como em uma entrevista técnica objetiva.,"Listar informações de catálogos e volumes, ajudando a inspecionar datasets."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 012 - Cenário prático: ADRDSSU,"Em um cenário real de operação ou desenvolvimento, O que ADRDSSU costuma fazer no ambiente?","Backup, restore, copy e dump em nível de dataset/volume."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 013 - Troubleshooting: AMASPZAP,"Durante uma investigação em mainframe, Por que AMASPZAP é sensível e quando pode aparecer em entrevista?",Porque altera bytes diretamente em módulos ou datasets; é poderoso e arriscado.
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 014 - Conceito central: SORT vs programa,Explique em alto nível: Quando você evita escrever COBOL e usa utilitário em vez disso?,Quando o problema é operacional/transformacional simples e o utilitário resolve com menos custo.
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 015 - Pergunta de recrutador: STEPLIB,Se eu te perguntasse em entrevista: Qual a importância prática de STEPLIB em jobs que executam programas próprios?,Ela informa onde o sistema deve localizar os load modules do step.
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 016 - SYSPRINT,O que você procura primeiro em SYSPRINT de compilação COBOL? Responda como em uma entrevista técnica objetiva.,"Mensagens de erro/aviso, severidade, linha afetada e resumo final do compile."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 017 - Cenário prático: RC de utilitário,"Em um cenário real de operação ou desenvolvimento, Como interpretar RC diferente de zero em utilitários?","Depende do utilitário; alguns RCs altos são erro, outros são condição de negócio. É preciso consultar o significado."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 018 - Troubleshooting: Procedure catalogada,"Durante uma investigação em mainframe, Qual a vantagem operacional de procedures catalogadas?","Padronizam execução, reduzem repetição e facilitam manutenção do JCL."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 019 - Conceito central: Spool,Explique em alto nível: Que diferença faz entender SYSOUT/SYSPRINT ao diagnosticar jobs?,"Ajuda a localizar rapidamente mensagens do sistema, do programa e de utilitários."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 020 - Pergunta de recrutador: Compilação e link,Se eu te perguntasse em entrevista: Explique a diferença entre compilar e link-editar.,Compilar traduz fonte em objeto; link-edit resolve dependências e gera o executável.
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 021 - IEFBR14,O que é o IEFBR14 e em que tipo de situação ele aparece em JCL? Responda como em uma entrevista técnica objetiva.,"É um programa quase nulo usado principalmente para satisfazer EXECs simples, como alocação/remoção de datasets via DD."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 022 - Cenário prático: IGYCRCTL,"Em um cenário real de operação ou desenvolvimento, Qual é o papel do IGYCRCTL no fluxo de compilação COBOL?",É o compilador COBOL; traduz o fonte em objeto/listagem e emite mensagens de compilação.
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 023 - Troubleshooting: IGYWCL,"Durante uma investigação em mainframe, Por que sites usam procedure catalogada como IGYWCL em vez de chamar componentes isolados?","Porque encapsula compile e linkage com parâmetros padronizados, simplificando o JCL."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 024 - Conceito central: HEWL/IEWL,Explique em alto nível: Qual é a função do link-editor após a compilação?,Resolver referências externas e gerar o módulo carregável na LOADLIB.
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 025 - Pergunta de recrutador: IEBGENER,Se eu te perguntasse em entrevista: Quando IEBGENER é suficiente e quando você trocaria por SORT ou programa próprio?,"Ele serve para cópia simples; se houver transformação ou ordenação, outro utilitário é mais adequado."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 026 - IEBCOPY,Para que serve IEBCOPY em bibliotecas PDS/PDSE? Responda como em uma entrevista técnica objetiva.,"Copiar, comprimir ou mover membros entre bibliotecas."
interview,Mainframe,Utilitários e Programas,🖥️,🛠️,Utilitários e Programas 027 - Cenário prático: DFSORT,"Em um cenário real de operação ou desenvolvimento, Cite usos típicos de DFSORT em processamento batch.","Ordenação, cópia condicional, filtragem, joins simples, reformatting e sumarização."
